variant,epochs,seed,accuracy,macro_f1
full,15,0,0.8567575666766557,0.8426938736960334
full,15,1,0.8578064129457597,0.8426749119407816
full,15,2,0.8585555888522625,0.8434987928708368
full,15,3,0.8563080611327539,0.8403379292910373
full,15,4,0.8560083907701528,0.8424432028090002
full,30,0,0.8802816901408451,0.8669212369606526
full,30,1,0.8780341624213366,0.8648807253970044
full,30,2,0.8849265807611627,0.872228714463537
full,30,3,0.8807311956847468,0.8687853337777657
full,30,4,0.8829787234042553,0.8700898876015558
no_topic,15,0,0.8482169613425232,0.8322923605495208
no_topic,15,1,0.846568774348217,0.8282374759007056
no_topic,15,2,0.8486664668864249,0.831244131821551
no_topic,15,3,0.8569074018579562,0.8415622774845549
no_topic,15,4,0.8440215762661073,0.8283386826421199
no_topic,30,0,0.8708420737189092,0.8559228673626903
no_topic,30,1,0.8735391069823194,0.8605665059900353
no_topic,30,2,0.8760863050644291,0.8631969701357317
no_topic,30,3,0.8742882828888223,0.8614313917313415
no_topic,30,4,0.874737788432724,0.8609384694818614
no_skip,15,0,0.8513635001498352,0.8338063429461781
no_skip,15,1,0.8549595445010488,0.8397821099789042
no_skip,15,2,0.8546598741384477,0.8389151166623622
no_skip,15,3,0.8545100389571472,0.838866089065017
no_skip,15,4,0.8596044351213665,0.8446158876981184
no_skip,30,0,0.8748876236140246,0.8620013155302351
no_skip,30,1,0.8808810308660473,0.8678826653245736
no_skip,30,2,0.8709919089002097,0.85683665372663
no_skip,30,3,0.8801318549595445,0.8669043151320444
no_skip,30,4,0.8739886125262212,0.8593614975040339
no_bn,15,0,0.8470182798921186,0.8309093649043399
no_bn,15,1,0.8437219059035062,0.8255824914590361
no_bn,15,2,0.8456697632604135,0.8256784313836697
no_bn,15,3,0.8479172909799221,0.8309281613342382
no_bn,15,4,0.8477674557986216,0.8318064832610621
no_bn,30,0,0.8620017980221756,0.8476172472322917
no_bn,30,1,0.8672460293676956,0.8533504386582854
no_bn,30,2,0.86050344620917,0.84522384453359
no_bn,30,3,0.8606532813904705,0.8459240801421509
no_bn,30,4,0.8594545999400659,0.8434584256961126
