variant,epochs,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
full,15,0.857087204075517,0.0010668854131805658,0.8423297421215379,0.0011830686097437377
full,30,0.8813904704824693,0.002643646352708301,0.8685811796401032,0.0028315702453482745
no_bn,15,0.8464189391669164,0.0017505725869864683,0.8289809864684692,0.003080186840600877
no_bn,30,0.8619718309859156,0.0030842035284676266,0.8471148072524862,0.003791379765455692
no_skip,15,0.8550194785735691,0.0029487472316894955,0.839197109270116,0.0038391028003747496
no_skip,30,0.8761762061732095,0.0042162033247396275,0.8625972894435033,0.004756472609226813
no_topic,15,0.8488762361402458,0.004844336167095827,0.8323349856796904,0.005456526309169402
no_topic,30,0.8738987114174408,0.0019438191468779977,0.8604112409403321,0.002704097323028244
